id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1478495056705335298,1478495056705335298,"2022-01-04 23:34:25 Paris, Madrid",2022-01-04,23:34:25,100,97402507,elisagravil,GRAVIL Elisa,,[#videogames] Connaissez la dernière combinaison haptique #VR pour rendre tous les sensations à votre jeu vidéo 🎮 ? Mise au point par #OWO et présentée au #CES2022 . #Museovation  https://t.co/78Vp9ZPk4T,fr,[],[],"['https://pbs.twimg.com/media/FISraswWUAECdGf.jpg', 'https://pbs.twimg.com/media/FISrastWYA8QYWT.jpg']",0,2,1,"['videogames', 'vr', 'owo', 'ces2022', 'museovation']",[],https://twitter.com/ElisaGravil/status/1478495056705335298,False,,1,https://pbs.twimg.com/media/FISraswWUAECdGf.jpg,,,,,,,[],,,,
1478494481422987265,1478494481422987265,"2022-01-04 23:32:08 Paris, Madrid",2022-01-04,23:32:08,100,2892321597,geek_gen_france,Geek Generation,,MSI a dévoilé ses nouveaux modèles équipés de processeurs Intel Core série H de 12ème génération.  https://t.co/pMSYckrS8n @msifrance #MSI #CES #CES2022 #CES22,fr,"[{'screen_name': 'msifrance', 'name': 'msi', 'id': '48713097'}]",['https://www.geekgeneration.fr/ces-2022-msi-devoile-ses-nouveaux-portables-gaming-et-creator/'],[],0,0,1,"['msi', 'ces', 'ces2022', 'ces22']",[],https://twitter.com/Geek_Gen_France/status/1478494481422987265,False,,0,,,,,,,,[],,,,
1478493744735391753,1478493744735391753,"2022-01-04 23:29:12 Paris, Madrid",2022-01-04,23:29:12,100,3405442043,dailydigital,Daily Digital #CES2022,,🌇#NightReplay #CES2022 : Oral-B présente trois nouvelles brosses à dents connectées  https://t.co/0VSM5I0EN4  https://t.co/HkNOhxKZfG,fr,[],['https://dgl.li/3FW0MH0'],['https://pbs.twimg.com/media/FISqOXIXoAUN73y.jpg'],0,0,0,"['nightreplay', 'ces2022']",[],https://twitter.com/DailyDigital/status/1478493744735391753,False,,1,https://pbs.twimg.com/media/FISqOXIXoAUN73y.jpg,,,,,,,[],,,,
1478493740876578821,1478493740876578821,"2022-01-04 23:29:11 Paris, Madrid",2022-01-04,23:29:11,100,107458848,ginjfo,GinjFo,,#CES2022 Nvidia annonce la GeForce RTX 3050 pour du gaming en Full HD à 60 fps minimum  https://t.co/eRpqHMrGFC,fr,[],[],['https://pbs.twimg.com/media/FISqLsWXoAI7X6z.jpg'],0,0,1,['ces2022'],[],https://twitter.com/GinjFo/status/1478493740876578821,False,,1,https://pbs.twimg.com/media/FISqLsWXoAI7X6z.jpg,,,,,,,[],,,,
1478493486546624513,1478493486546624513,"2022-01-04 23:28:10 Paris, Madrid",2022-01-04,23:28:10,100,107458848,ginjfo,GinjFo,,#CES2022 Nvidia dévoile sa nouvelle vitrine...la GeForce RTX 3090 Ti  https://t.co/4necTYyrqZ,fr,[],[],['https://pbs.twimg.com/media/FISp9PXXEAsJT2H.png'],0,0,0,['ces2022'],[],https://twitter.com/GinjFo/status/1478493486546624513,False,,1,https://pbs.twimg.com/media/FISp9PXXEAsJT2H.png,,,,,,,[],,,,
1478492427291959296,1478492427291959296,"2022-01-04 23:23:58 Paris, Madrid",2022-01-04,23:23:58,100,3217273261,vanden_gw,Mathieu ' Vanden ',,Tellement d'annonces lors de ce #CES2022 .  Je suis presque jaloux de tous ceux présents à l'évent en physique☺️  Carte graphique - Processeurs - appareils connectés - périphériques.... Ce n'est que le début !!  https://t.co/iBk900BbFg,fr,[],[],"['https://pbs.twimg.com/media/FISorjrXoAYfLVl.jpg', 'https://pbs.twimg.com/media/FISozHyXoAUo58N.png', 'https://pbs.twimg.com/media/FISo4SOXIAs24tB.jpg']",0,0,0,['ces2022'],[],https://twitter.com/Vanden_GW/status/1478492427291959296,False,,1,https://pbs.twimg.com/media/FISorjrXoAYfLVl.jpg,,,,,,,[],,,,
1478492128363880450,1478492128363880450,"2022-01-04 23:22:47 Paris, Madrid",2022-01-04,23:22:47,100,256503544,sosordinet,Association SOSOrdi.net,,"[#CES2022] #Sony : #BraviaXR TVs, #BraviaCam, son spatial 360 degrés… les premières annonces du fabricant !  https://t.co/l3tnEPlFJL #television #CES22  https://t.co/QP8lqTOtzP",fr,[],['https://blog.sosordi.net/2022/01/ces-2022-sony-braviaxr-tvs-braviacam-son-spatial-360-degres-les-premieres-annonces-du-fabricant.html'],['https://pbs.twimg.com/media/FISovZRXIAASP0I.jpg'],0,0,0,"['ces2022', 'sony', 'braviaxr', 'braviacam', 'television', 'ces22']",[],https://twitter.com/SOSOrdinet/status/1478492128363880450,False,,1,https://pbs.twimg.com/media/FISovZRXIAASP0I.jpg,,,,,,,[],,,,
1478491241272811525,1478491241272811525,"2022-01-04 23:19:15 Paris, Madrid",2022-01-04,23:19:15,100,3405442043,dailydigital,Daily Digital #CES2022,,🌇#NightReplay 👾 Pénurie de composants : rebelotte en 2022 sous l’effet d’une demande record ? #CES2022  https://t.co/zFzwWCormR  https://t.co/aHafMv1sQm,fr,[],['https://dgl.li/348YYMP'],['https://pbs.twimg.com/media/FISn8evXMAEYJRS.jpg'],0,0,0,"['nightreplay', 'ces2022']",[],https://twitter.com/DailyDigital/status/1478491241272811525,False,,1,https://pbs.twimg.com/media/FISn8evXMAEYJRS.jpg,,,,,,,[],,,,
1478490955883896838,1478490955883896838,"2022-01-04 23:18:07 Paris, Madrid",2022-01-04,23:18:07,100,1370379309152616449,legarageapc,Le Garage A PC,,👋Fil rouge du #CES2022.  Au Programme nouveauté et avis. 🗣  https://t.co/r6gphDUXua #Hardware,fr,[],['http://swll.to/l0MfpBO'],[],0,0,0,"['ces2022', 'hardware']",[],https://twitter.com/legarageapc/status/1478490955883896838,False,,0,,,,,,,,[],,,,
1478490816876273667,1478490816876273667,"2022-01-04 23:17:34 Paris, Madrid",2022-01-04,23:17:34,100,1117113259264552967,geeknplay1,GeekNPlay,,Razer annonce ses nouveaux pc Razer Blade 2022 lors du CES 2022 à Las Vegas 👇 #Razer #CES2022    https://t.co/Sc1HSQhS9Z,fr,[],['https://www.geeknplay.fr/ces-2022-razer-annonce-des-nouveaux-pc-portables-gaming-blade/'],[],0,0,1,"['razer', 'ces2022']",[],https://twitter.com/GeekNPlay1/status/1478490816876273667,False,,0,,,,,,,,[],,,,
